personIdB,nameStringB,dateBirthB,dateDeathB,dateFlB
epist11196,Johann Heinrich Bisterfeld,1605,1655,0
epist11197,Johann Heinrich Boecler,1611,1672,0
epist11205,Johann Otto Tabor,1604,1674,0
epist11215,Johan Radermacher,1538,1617,0
epist11217,Johan Skytte,1577,1645,0
epist11240,Johan van Oldenbarnevelt,1547,1619,0
epist11244,Johan van Reigersberch,0,1632,0
epist11250,Johan Witten,0,1645,0
epist11253,John Bingham,0,0,1615
epist11256,John Collins,1625,1683,0
epist11257,John Cosin,1595,1672,0
epist11260,John Durie,1596,1680,0
epist11265,John Overall,1560,1619,0
epist11273,Joost Brasser,1581,0,0
epist11278,Joris de Bie,0,1628,0
epist11283,Joseph de Voisin,1610,1685,0
epist11296,Justinus van Assche,1596,1650,0
epist11300,Justus Lipsius,1547,1606,0
epist11314,king of England Charles I,1600,1649,0
epist11316,king of England James I,1566,1625,0
epist11320,king of Spain Felipe IV,1605,1665,0
epist11321,king of Sweden Karl X Gustav,1622,1660,0
epist11337,Lancelot Andrewes,1555,1626,0
epist11351,Léon Bouthillier,1608,1652,0
epist11358,Lieuwe van Aitzema,1600,1669,0
epist11370,Louis Cappel,1585,1658,0
epist11389,Lucas Holstein,1596,1661,0
epist11411,Magnus Gabriel de la Gardie,1622,1686,0
epist11427,Maria Junius,1583,1641,0
epist11435,Maria van Reigersberch,1589,1653,0
epist11444,Marin Cureau de la Chambre,1594,1669,0
epist11450,Martin Regulus,0,0,1682
epist11455,Martinus Opitz,1597,1639,0
epist11456,Martinus Ruarus,1588,1657,0
epist11464,Matthaeus Vossius,1610,1646,0
epist11466,Matthias Bernegger,1582,1640,0
epist11467,Matthias Mylonius von Biörenklou,1617,1671,0
epist11468,Matthias Pasor,1599,1658,0
epist11469,Matthias Turner,0,0,1639
epist11474,Matthijs van Overbeke,1584,1638,0
epist11478,Maurits van Nassau,1567,1625,0
epist11486,Menasse ben Israel,1604,1657,0
epist11487,Mericus Casaubonus,1599,1671,0
epist11501,Nicolaas Casparsz Grevinchoven,0,1632,0
epist11510,Nicolaas van Reigersberch,1584,1654,0
epist11517,Nicolas Brulart de Sillery,1544,1624,0
epist11518,Nicolas-Claude Fabry de Peiresc,1580,1637,0
epist11520,Nicolas de Bourgogne,1586,1649,0
epist11527,Nicolas Rigault,1577,1654,0
epist11528,Nicolaus a Velge,0,0,1629
epist11536,Olivier de Wree,1596,1652,0
epist11556,Paul du May,1585,1645,0
epist11558,Paullus Merula,1558,1607,0
epist11562,Paulus Pels,1587,1659,0
epist11569,Peter Hartzwich,0,0,1632
epist11577,Petrus Cupus,1580,1646,0
epist11580,Petrus Heringa,1620,1683,0
epist11585,Petrus Weymsius,0,1657,0
epist11588,Philibert de la Mare,1615,1687,0
epist11595,Philipp Ernst von Hohenlohe,1584,1628,0
